,cells,host,samples,media,abx_c,replicate,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
D08,y,DE344,pJUMP43-2A(pBBR1),TB,40,4,TB|40ug,pJUMP43-2A(pBBR1)|TB|40ug|4,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP43-2A(pBBR1)|TB|40ug
E08,y,DE344,pJUMP46-2A(p15A),EZRDM,40,0,EZRDM|40ug,pJUMP46-2A(p15A)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|EZRDM|40ug
F08,y,DE344,pJUMP46-2A(p15A),EZRDM,40,1,EZRDM|40ug,pJUMP46-2A(p15A)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|EZRDM|40ug
G08,y,DE344,pJUMP46-2A(p15A),EZRDM,40,2,EZRDM|40ug,pJUMP46-2A(p15A)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|EZRDM|40ug
H08,y,DE344,pJUMP46-2A(p15A),EZRDM,40,3,EZRDM|40ug,pJUMP46-2A(p15A)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H8 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|EZRDM|40ug
A09,y,DE344,pJUMP46-2A(p15A),EZRDM,40,4,EZRDM|40ug,pJUMP46-2A(p15A)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|EZRDM|40ug
B09,y,DE344,pJUMP46-2A(p15A),LB,40,0,LB|40ug,pJUMP46-2A(p15A)|LB|40ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|LB|40ug
C09,y,DE344,pJUMP46-2A(p15A),LB,40,1,LB|40ug,pJUMP46-2A(p15A)|LB|40ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|LB|40ug
D09,y,DE344,pJUMP46-2A(p15A),LB,40,2,LB|40ug,pJUMP46-2A(p15A)|LB|40ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|LB|40ug
E09,y,DE344,pJUMP46-2A(p15A),LB,40,3,LB|40ug,pJUMP46-2A(p15A)|LB|40ug|3,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|LB|40ug
F09,y,DE344,pJUMP46-2A(p15A),LB,40,4,LB|40ug,pJUMP46-2A(p15A)|LB|40ug|4,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|LB|40ug
G09,y,DE344,pJUMP46-2A(p15A),TB,40,0,TB|40ug,pJUMP46-2A(p15A)|TB|40ug|0,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|TB|40ug
H09,y,DE344,pJUMP46-2A(p15A),TB,40,1,TB|40ug,pJUMP46-2A(p15A)|TB|40ug|1,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H9 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|TB|40ug
A10,y,DE344,pJUMP46-2A(p15A),TB,40,2,TB|40ug,pJUMP46-2A(p15A)|TB|40ug|2,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|TB|40ug
B10,y,DE344,pJUMP46-2A(p15A),TB,40,3,TB|40ug,pJUMP46-2A(p15A)|TB|40ug|3,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|TB|40ug
C10,y,DE344,pJUMP46-2A(p15A),TB,40,4,TB|40ug,pJUMP46-2A(p15A)|TB|40ug|4,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP46-2A(p15A)|TB|40ug
