wavelength,excitation,dichroic,emission
371.8,8.52E-07,0.00057874,1.00E-07
372,8.65E-07,0.00041873,1.00E-07
372.2,8.78E-07,0.000486,1.00E-07
372.4,8.91E-07,0.00025159,1.00E-07
372.6,9.04E-07,6.39E-05,1.00E-07
372.8,9.18E-07,6.35E-05,1.00E-07
373,9.32E-07,6.26E-05,1.00E-07
373.2,9.46E-07,6.16E-05,1.00E-07
373.4,9.60E-07,6.09E-05,1.00E-07
373.6,9.74E-07,6.05E-05,1.00E-07
373.8,9.89E-07,6.04E-05,1.00E-07
374,1.00E-06,6.04E-05,1.00E-07
374.2,1.02E-06,6.07E-05,1.00E-07
374.4,1.03E-06,6.05E-05,1.00E-07
374.6,1.05E-06,6.01E-05,1.01E-07
374.8,1.07E-06,5.97E-05,1.01E-07
375,1.08E-06,6.04E-05,1.02E-07
375.2,1.10E-06,5.94E-05,1.03E-07
375.4,1.11E-06,6.05E-05,1.03E-07
375.6,1.13E-06,5.94E-05,1.04E-07
375.8,1.15E-06,5.92E-05,1.05E-07
376,1.17E-06,5.90E-05,1.05E-07
376.2,1.19E-06,5.86E-05,1.06E-07
376.4,1.22E-06,5.84E-05,1.07E-07
376.6,1.26E-06,5.84E-05,1.08E-07
376.8,1.29E-06,5.90E-05,1.08E-07
377,1.32E-06,5.96E-05,1.09E-07
377.2,1.35E-06,6.03E-05,1.10E-07
377.4,1.39E-06,6.06E-05,1.10E-07
377.6,1.42E-06,6.02E-05,1.11E-07
377.8,1.46E-06,5.94E-05,1.12E-07
378,1.50E-06,5.84E-05,1.13E-07
378.2,1.53E-06,5.73E-05,1.15E-07
378.4,1.57E-06,5.70E-05,1.19E-07
378.6,1.61E-06,5.68E-05,1.23E-07
378.8,1.65E-06,5.70E-05,1.27E-07
379,1.69E-06,5.69E-05,1.31E-07
379.2,1.74E-06,5.70E-05,1.36E-07
379.4,1.78E-06,5.66E-05,1.40E-07
379.6,1.83E-06,5.61E-05,1.45E-07
379.8,1.87E-06,6.38E-05,1.50E-07
380,1.92E-06,5.54E-05,1.55E-07
380.2,1.97E-06,9.90E-05,1.60E-07
380.4,2.02E-06,0.00013292,1.65E-07
380.6,2.07E-06,0.00012595,1.71E-07
380.8,2.12E-06,0.00014636,1.77E-07
381,2.17E-06,0.00024182,1.83E-07
381.2,2.18E-06,0.00016137,1.89E-07
381.4,2.19E-06,0.00013832,1.95E-07
381.6,2.19E-06,0.00011335,2.02E-07
381.8,2.20E-06,6.35E-05,2.09E-07
382,2.21E-06,0.00010183,2.01E-07
382.2,2.22E-06,0.00010993,1.93E-07
382.4,2.22E-06,6.20E-05,1.86E-07
382.6,2.23E-06,5.29E-05,1.78E-07
382.8,2.24E-06,5.24E-05,1.71E-07
383,2.25E-06,5.18E-05,1.64E-07
383.2,2.25E-06,5.12E-05,1.58E-07
383.4,2.26E-06,5.07E-05,1.51E-07
383.6,2.27E-06,5.05E-05,1.45E-07
383.8,2.28E-06,5.04E-05,1.40E-07
384,2.28E-06,5.00E-05,1.34E-07
