,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
F08,y,DH5a,pJUMP46-2A(p15A),EZRDM,75,1,pJUMP46-2A(p15A)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F8 of 3 on Temperature Module GEN2 on 3,25/09/2022
G08,y,DH5a,pJUMP46-2A(p15A),EZRDM,75,2,pJUMP46-2A(p15A)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G8 of 3 on Temperature Module GEN2 on 3,25/09/2022
H08,y,DH5a,pJUMP46-2A(p15A),EZRDM,100,0,pJUMP46-2A(p15A)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H8 of 3 on Temperature Module GEN2 on 3,25/09/2022
A09,y,DH5a,pJUMP46-2A(p15A),EZRDM,100,1,pJUMP46-2A(p15A)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A9 of 3 on Temperature Module GEN2 on 3,25/09/2022
B09,y,DH5a,pJUMP46-2A(p15A),EZRDM,100,2,pJUMP46-2A(p15A)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B9 of 3 on Temperature Module GEN2 on 3,25/09/2022
C09,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,0,0,pJUMP44-2A(pRO1600-ColE1)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C9 of 3 on Temperature Module GEN2 on 3,25/09/2022
D09,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,0,1,pJUMP44-2A(pRO1600-ColE1)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D9 of 3 on Temperature Module GEN2 on 3,25/09/2022
E09,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,0,2,pJUMP44-2A(pRO1600-ColE1)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E9 of 3 on Temperature Module GEN2 on 3,25/09/2022
F09,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,25,0,pJUMP44-2A(pRO1600-ColE1)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F9 of 3 on Temperature Module GEN2 on 3,25/09/2022
G09,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,25,1,pJUMP44-2A(pRO1600-ColE1)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G9 of 3 on Temperature Module GEN2 on 3,25/09/2022
H09,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,25,2,pJUMP44-2A(pRO1600-ColE1)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H9 of 3 on Temperature Module GEN2 on 3,25/09/2022
A10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,50,0,pJUMP44-2A(pRO1600-ColE1)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A10 of 3 on Temperature Module GEN2 on 3,25/09/2022
B10,y,DH5a,pJUMP44-2A(pRO1600-ColE1),EZRDM,50,1,pJUMP44-2A(pRO1600-ColE1)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B10 of 3 on Temperature Module GEN2 on 3,25/09/2022
